游戏名称,是否有开发日志,作者,主观评价,图片,权重
3 & 4  Play in browser,没有,xusir,看起来好难，其实蛮简单，适合音乐，节奏,res://assets/entries/jXPoiI.png
3-4 Play in browser,没有,Itpika,似乎没有什么主题相关性？,res://assets/entries/7Ox_cR.png
Another Me  Play in browser,有,Salpha0,目前为止我最喜欢的解谜游戏,res://assets/entries/MpLeJD.png
cell's war(细胞战争),有,after1ife,卡牌+塔防？游戏的底子还是不错的，有扩展空间，可惜的是目前应该并没有完成，完成度偏低，建议继续打磨,res://assets/entries/MLCv6f.png
clinic    Play in browser,有,tiomke,诊所解密，流程很短但值得体验,res://assets/entries/ZYfjmx.png
Color Word Game,有,PigeonKingGames,颜色和文字不同，很好角度！,res://assets/entries/p7_5Cp.png
ExoCave  Play in browser,有,youer0219,重力，平台解密。,res://assets/entries/AB5hNQ.png
Fade on Sight,有,RacolW,我有点儿晕三弟,res://assets/entries/VYHbYw.png
FreeFall  Play in browser,有,kitssu1,0,res://assets/entries/ILRAuO.png
GameJamDemo,有,BoydZhang,名字缺乏创意,res://assets/entries/ukpKJi.png
hero_story,有,zxygame,我喜欢这个游戏！,res://assets/entries/4Xwu3o.png
investigator  Play in browser,没有,zuiyu1998,三消游戏的底子，缺少教学引导
"Observe, collapse, wait for Godot Play in browser",有,Yuugata,有点折磨人的游戏,res://assets/entries/9wkWNh.png
roboy (test),没有,hydratedmoon244,0
Shape Pipeline/形状通道,没有,fantasiaStudio,经典推箱子，我喜欢,res://assets/entries/c7kSBO.png
UnReal Objects,有,Gove,0,res://assets/entries/Smt3a+.png
Vacuum Bumper Ship   Play in browser,有,TungstenFlow,太空碰碰车？老实说我没太明白,res://assets/entries/0LIkUy.png
vision,有,顶尖游戏BUG开发者,网友说像猜保险箱密码，我深表赞同,res://assets/entries/r3771I.png
保护戈多 Play in browser,有,yvmoux,作者说没有主题相关性,res://assets/entries/qNXz4P.png
缤纷使者,有,Phinkabon,一个推箱子游戏,res://assets/entries/xtGrCQ.png
存在或者不存在的墙,没有,eeerqwwrq,缺少引导,res://assets/entries/7Ox_cR.png
到底多少钱,有,VANDOOR,游戏没有发布，是上传的源文件,res://assets/entries/UrKloH.png
点亮灯泡,有,2000 Studio,0,res://assets/entries/el0lnh.png
观察者,有,ringoFF,对石头剪刀布的解耦，思路还是可以的，但期待更深入的玩法设计,res://assets/entries/1lQq5o.png
幻想离家,没有,Overmoon,0,res://assets/entries/DEwzT6.png
平圆方的大冒险,有,hwy331,0,res://assets/entries/FlCh_8.png
深水王子与饕鬄海,有,phiXcat,1,res://assets/entries/1o4mKv.png
神秘动物学家,没有,SteveLeeTH000,1,res://assets/entries/GDPex8.png
视差俄罗斯方块,有,qiiiii24,0,res://assets/entries/Z5HwPX.png
四还是三？ Play in browser,没有,pure_nonentity,剧情叙事，黑色幽默？
四象,没有,所罗门大海鸥,0
天地翻覆  Play in browser,有,demonjerk,重力，平台解密,res://assets/entries/EGS4sG.png
颜色跳跃,有,yinsull,制作迅速，相对完整，想法很好，但操作可优化，有进一步优化和扩展的空间,res://assets/entries/MYIq8N.png
眼见为实Seeing is believing.  Play in browser,有,SuperNail,很不错，我喜欢画风，但好难啊！,res://assets/entries/+8vM4G.png
还没做完,,,,res://assets/entries/MuXGqd.png
